Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"sk_cliente",6E369BD8-CBEF-DC55-B728-978C78C2B12B,91,921DDF13-0433-E7CA-A31C-90296ED65E28,16FEE71F-0BD5-566E-7065-2B2AFD508B7F,84,Y,Domain,,N,,,,35325A47-35F2-B28B-4EFB-24BF59D63E6B,7,LOGDT019,47,,,,,,,,,Y,"NUMERIC_6_0_0",NUMERIC,,,,N,Y,"dm_cliente",P,,NUMBER,1,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",0,6,0,
"dt_nascimento",F40FA739-C8A4-743E-0A20-F5B22BDD6B0D,92,A8DDD420-F814-3126-8D9A-AFF47F6FF662,16FEE71F-0BD5-566E-7065-2B2AFD508B7F,84,Y,Domain,,N,,,,1B0F824D-2D6A-AA1C-157D-E2FEE382B665,1,LOGDT007,27,,,,,,,,,Y,"Date_0_0_0",Date,,,,N,Y,"dm_cliente",,,DATE,2,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",,,,
"ds_sexo",573A567E-0093-7401-A7A7-BB37F5C5F675,93,CBFF6C4C-DC1E-5D5A-3DE5-3E5724C346DC,16FEE71F-0BD5-566E-7065-2B2AFD508B7F,84,N,Domain,,N,,,,D8AD3056-FDC9-9962-A52B-3A8522B824A6,10,LOGDT024,75,,,,,,,,,Y,"VARCHAR_0_0_1",VARCHAR,,,,N,Y,"dm_cliente",,,VARCHAR2,3,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",1,0,0,
"ds_endereco",41682467-FEAE-A5A0-A9E3-895F13DAA861,94,3BE2C542-07C8-4E62-CF2F-DC81A27D7002,16FEE71F-0BD5-566E-7065-2B2AFD508B7F,84,Y,Domain,,N,,,,1E28A39F-1772-79B5-9406-AB5AC70ABAF6,13,LOGDT024,75,,,,,,,,,Y,"VARCHAR_0_0_30",VARCHAR,,,,N,Y,"dm_cliente",,,VARCHAR2,4,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",30,0,0,
"sk_loja",BC503C30-2A6D-70B7-A423-51730719B076,95,63241751-C0A6-6E12-CAD3-FC43319D44B9,91E03E2D-6613-B7E5-1A0E-11FD902BFAF8,85,Y,Domain,,N,,,,82A43AB0-28A2-DE11-2CCD-516CBB28D6C4,6,LOGDT019,47,,,,,,,,,Y,"NUMERIC_5_0_0",NUMERIC,,,,N,Y,"dm_loja",P,,NUMBER,1,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",0,5,0,
"ds_loja",B0421BFF-23D2-8EEB-9B58-1DEC1EEAFA0A,96,43BC3F06-342A-3C27-25C6-34CDF9CDE45E,91E03E2D-6613-B7E5-1A0E-11FD902BFAF8,85,Y,Domain,,N,,,,1E28A39F-1772-79B5-9406-AB5AC70ABAF6,13,LOGDT024,75,,,,,,,,,Y,"VARCHAR_0_0_30",VARCHAR,,,,N,Y,"dm_loja",,,VARCHAR2,2,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",30,0,0,
"ds_endereco",4DEE60C1-C0ED-68C9-2F81-471657E35219,97,AB92D376-9A58-4311-7208-65B951509B8D,91E03E2D-6613-B7E5-1A0E-11FD902BFAF8,85,Y,Domain,,N,,,,1E28A39F-1772-79B5-9406-AB5AC70ABAF6,13,LOGDT024,75,,,,,,,,,Y,"VARCHAR_0_0_30",VARCHAR,,,,N,Y,"dm_loja",,,VARCHAR2,3,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",30,0,0,
"nm_zona",CA9684BC-9C4B-030A-2F9A-77D9F6D8D16D,98,0C8DF385-BF60-1432-28FE-924313B6F1E6,91E03E2D-6613-B7E5-1A0E-11FD902BFAF8,85,Y,Domain,,N,,,,CF9FC0CB-F358-D553-B753-5222BC8024AD,12,LOGDT024,75,,,,,,,,,Y,"VARCHAR_0_0_20",VARCHAR,,,,N,Y,"dm_loja",,,VARCHAR2,4,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",20,0,0,
"sk_pedido",4C8C0CDF-F3F4-3E35-9F34-B966B3D61F60,99,4C815479-FC88-B2B3-D519-1AE72C2578CE,12634F04-702C-DA10-050D-C09D0774ACB4,86,Y,Domain,,N,,,,82A43AB0-28A2-DE11-2CCD-516CBB28D6C4,6,LOGDT019,47,,,,,,,,,Y,"NUMERIC_5_0_0",NUMERIC,,,,N,Y,"dm_pedido",P,,NUMBER,1,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",0,5,0,
"ds_pedido",00AAC853-7344-BB5C-551E-A5A02824CDB2,100,F0235D72-322E-3F6D-6E5F-94F5F10B60C6,12634F04-702C-DA10-050D-C09D0774ACB4,86,Y,Domain,,N,,,,1E28A39F-1772-79B5-9406-AB5AC70ABAF6,13,LOGDT024,75,,,,,,,,,Y,"VARCHAR_0_0_30",VARCHAR,,,,N,Y,"dm_pedido",,,VARCHAR2,2,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",30,0,0,
"dt_pedido",94627A3C-45CF-BB51-C579-049E94A2471A,101,E57E3E85-2579-DA5F-FCD0-F14A9D224DB9,12634F04-702C-DA10-050D-C09D0774ACB4,86,Y,Domain,,N,,,,1B0F824D-2D6A-AA1C-157D-E2FEE382B665,1,LOGDT007,27,,,,,,,,,Y,"Date_0_0_0",Date,,,,N,Y,"dm_pedido",,,DATE,3,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",,,,
"hr_pedido",291BD8C8-5E83-56A7-7E9A-51825D66FC94,102,2AD7BA5D-3786-979D-E8B1-A0B5284DE7D8,12634F04-702C-DA10-050D-C09D0774ACB4,86,Y,Domain,,N,,,,1B0F824D-2D6A-AA1C-157D-E2FEE382B665,1,LOGDT007,27,,,,,,,,,Y,"Date_0_0_0",Date,,,,N,Y,"dm_pedido",,,DATE,4,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",,,,
"sk_produto",31026CB3-E262-082C-CBC4-9C76D474D43E,103,7DABC9E0-6FD3-5518-3124-8E52584F62E3,FF527C0A-54BF-DD7B-E4A9-E2B9FD468668,87,Y,Domain,,N,,,,35325A47-35F2-B28B-4EFB-24BF59D63E6B,7,LOGDT019,47,,,,,,,,,Y,"NUMERIC_6_0_0",NUMERIC,,,,N,Y,"dm_produto",P,,NUMBER,1,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",0,6,0,
"nm_produto",0E1E7200-07AB-7720-1C98-57CEF18587AA,104,156676E1-AB2D-2465-1BD4-3EA71F11CBE1,FF527C0A-54BF-DD7B-E4A9-E2B9FD468668,87,N,Domain,,N,,,,1E28A39F-1772-79B5-9406-AB5AC70ABAF6,13,LOGDT024,75,,,,,,,,,Y,"VARCHAR_0_0_30",VARCHAR,,,,N,Y,"dm_produto",,,VARCHAR2,2,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",30,0,0,
"ds_categoria",21C66D98-2738-E4AD-62D9-8FE4B586D9CC,105,EED8D8C4-E24A-B408-C52A-66097B1B74DE,FF527C0A-54BF-DD7B-E4A9-E2B9FD468668,87,N,Domain,,N,,,,1E28A39F-1772-79B5-9406-AB5AC70ABAF6,13,LOGDT024,75,,,,,,,,,Y,"VARCHAR_0_0_30",VARCHAR,,,,N,Y,"dm_produto",,,VARCHAR2,3,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",30,0,0,
"ds_grupo",A477F2D6-3A21-7D15-D410-3013EDE8B0A5,106,4FBA0137-F3F2-4039-ABAD-E7AB0FA75F0F,FF527C0A-54BF-DD7B-E4A9-E2B9FD468668,87,N,Domain,,N,,,,CF9FC0CB-F358-D553-B753-5222BC8024AD,12,LOGDT024,75,,,,,,,,,Y,"VARCHAR_0_0_20",VARCHAR,,,,N,Y,"dm_produto",,,VARCHAR2,4,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",20,0,0,
"sk_regiao",6D301633-E8D2-3336-86EF-00813D420B77,107,561AFCA7-8367-1812-DB6A-DAEFD5F110A5,38EEF6E1-67B1-06FB-F7BD-77D7F3443F8E,88,Y,Domain,,N,,,,35325A47-35F2-B28B-4EFB-24BF59D63E6B,7,LOGDT019,47,,,,,,,,,Y,"NUMERIC_6_0_0",NUMERIC,,,,N,Y,"dm_regiao",P,,NUMBER,1,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",0,6,0,
"nm_cidade",79C425C4-B166-013B-B22A-95DA8694ABE1,108,593FB999-815E-06AE-8B65-1CCC5A27ED55,38EEF6E1-67B1-06FB-F7BD-77D7F3443F8E,88,Y,Domain,,N,,,,1E28A39F-1772-79B5-9406-AB5AC70ABAF6,13,LOGDT024,75,,,,,,,,,Y,"VARCHAR_0_0_30",VARCHAR,,,,N,Y,"dm_regiao",,,VARCHAR2,2,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",30,0,0,
"nm_zona",66F76D69-8614-EECC-67E8-EDE1D331B1DD,109,37679B64-608C-21CF-F6B3-097E4F55CF52,38EEF6E1-67B1-06FB-F7BD-77D7F3443F8E,88,Y,Domain,,N,,,,1E28A39F-1772-79B5-9406-AB5AC70ABAF6,13,LOGDT024,75,,,,,,,,,Y,"VARCHAR_0_0_30",VARCHAR,,,,N,Y,"dm_regiao",,,VARCHAR2,3,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",30,0,0,
"nm_bairro",D8B203CA-EDD8-6FC6-E9EE-2C2F47F8BBA7,110,E93C2BE8-3BD2-9B99-89BB-92CBE7C839B5,38EEF6E1-67B1-06FB-F7BD-77D7F3443F8E,88,Y,Domain,,N,,,,1E28A39F-1772-79B5-9406-AB5AC70ABAF6,13,LOGDT024,75,,,,,,,,,Y,"VARCHAR_0_0_30",VARCHAR,,,,N,Y,"dm_regiao",,,VARCHAR2,4,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",30,0,0,
"ds_gr_risco",EE41B7CF-5E71-5175-3637-FA991E8DB163,111,9D27B7ED-97B0-6C7C-8093-4DBFEDBF8C28,38EEF6E1-67B1-06FB-F7BD-77D7F3443F8E,88,Y,Domain,,N,,,,F4FD1111-D00A-597F-D279-41F85E14EE88,2,LOGDT019,47,,,,,,,,,Y,"NUMERIC_10_0_0",NUMERIC,,,,N,Y,"dm_regiao",,,NUMBER,5,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",0,10,0,
"sk_tempo",CD12B918-ABFA-FB39-D53C-8CB8A432AA6A,112,87DE2494-4F66-DB33-82ED-C9C774EBF3E6,40DA2D05-2E60-4F3C-B479-FAD6B1A15799,89,Y,Domain,,N,,,,35325A47-35F2-B28B-4EFB-24BF59D63E6B,7,LOGDT019,47,,,,,,,,,Y,"NUMERIC_6_0_0",NUMERIC,,,,N,Y,"dm_tempo",P,,NUMBER,1,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",0,6,0,
"dt_data",05CC6E0E-DAD4-B9EC-0409-F4C6A76E87BF,113,2EA6C7C2-BCBC-72AC-32D6-4158EA41D1DB,40DA2D05-2E60-4F3C-B479-FAD6B1A15799,89,Y,Domain,,N,,,,1B0F824D-2D6A-AA1C-157D-E2FEE382B665,1,LOGDT007,27,,,,,,,,,Y,"Date_0_0_0",Date,,,,N,Y,"dm_tempo",,,DATE,2,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",,,,
"nr_dia",A261EA74-AD25-2226-F833-193F97FE0138,114,68D17E31-D374-12C1-F4C8-D0B5AA01110C,40DA2D05-2E60-4F3C-B479-FAD6B1A15799,89,Y,Domain,,N,,,,19FEFF71-4F92-B5FC-492D-7470D7AA0B70,3,LOGDT019,47,,,,,,,,,Y,"NUMERIC_2_0_0",NUMERIC,,,,N,Y,"dm_tempo",,,NUMBER,3,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",0,2,0,
"nm_mes",563F6813-8C11-C86E-1D68-AEEF83253DC9,115,0B7C5AF5-ED0B-5C51-B981-B2D93A6F7592,40DA2D05-2E60-4F3C-B479-FAD6B1A15799,89,Y,Domain,,N,,,,4F913148-71D5-8EFB-1BF0-447A85B713FC,11,LOGDT024,75,,,,,,,,,Y,"VARCHAR_0_0_15",VARCHAR,,,,N,Y,"dm_tempo",,,VARCHAR2,4,F1B87C1A-B218-F20B-C54B-4D3A2BA8F2F6,83,"Relational_1",15,0,0,
