Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
"dm_cliente_pk",B1890333-0661-043D-779D-5E0B7E7E24E9,131,9C9D8406-92E7-11D6-4B20-2992AF32DBE3,16FEE71F-0BD5-566E-7065-2B2AFD508B7F,84,Primary Constraint,,N,Y,"dm_cliente",N,,,,
"dm_loja_pk",48B878E9-CFE2-1B53-0C37-86EF47A00453,132,8055EC88-401A-B65F-96D7-CBF9D168703C,91E03E2D-6613-B7E5-1A0E-11FD902BFAF8,85,Primary Constraint,,N,Y,"dm_loja",N,,,,
"dm_pedido_pk",6B3A4DC2-429A-B9C1-183E-E782BBF67B21,133,D305D77C-749D-286F-F9D6-01AC71ADDD22,12634F04-702C-DA10-050D-C09D0774ACB4,86,Primary Constraint,,N,Y,"dm_pedido",N,,,,
"dm_produto_pk",C3FE715B-1487-51A4-5419-D7CA09C0A09D,134,8E1BBB90-E935-D0A2-9A5C-0CF8786E6019,FF527C0A-54BF-DD7B-E4A9-E2B9FD468668,87,Primary Constraint,,N,Y,"dm_produto",N,,,,
"dm_regiao_pk",BFB737B5-2635-2824-80CD-FA1A14FFC97E,135,8869E829-A177-2D99-CFC1-09AA42924639,38EEF6E1-67B1-06FB-F7BD-77D7F3443F8E,88,Primary Constraint,,N,Y,"dm_regiao",N,,,,
"dm_tempo_pk",4FBFF9A4-6B8A-50BD-4C61-C6AF5B30AC5E,136,5F0E3879-0F52-7F50-796D-1AE06D93C9FF,40DA2D05-2E60-4F3C-B479-FAD6B1A15799,89,Primary Constraint,,N,Y,"dm_tempo",N,,,,
"ft_vendas_pk",0D23E785-AD71-EDEB-4DF6-CD507506345B,137,5DB4CF4E-BC91-F2AB-24F8-6B4FEA0E1159,2A48325C-9B81-2FB1-AE57-6A180D8758B1,90,Primary Constraint,,N,Y,"ft_vendas",N,,,,
"ft_vendas_dm_cliente_fk",62449736-5DB6-5A5C-3BAE-D6786F408497,138,,2A48325C-9B81-2FB1-AE57-6A180D8758B1,90,Foreign Key,,N,Y,"ft_vendas",N,,,,
"ft_vendas_dm_loja_fk",C0C66029-0AEE-0561-503B-AE9316E6A853,139,,2A48325C-9B81-2FB1-AE57-6A180D8758B1,90,Foreign Key,,N,Y,"ft_vendas",N,,,,
"ft_vendas_dm_pedido_fk",F940247E-0FB1-D802-CA4F-EBF11D6E291B,140,,2A48325C-9B81-2FB1-AE57-6A180D8758B1,90,Foreign Key,,N,Y,"ft_vendas",N,,,,
"ft_vendas_dm_produto_fk",109E9682-E261-3CC3-CEE2-49F023B48784,141,,2A48325C-9B81-2FB1-AE57-6A180D8758B1,90,Foreign Key,,N,Y,"ft_vendas",N,,,,
"ft_vendas_dm_regiao_fk",4D6C8B24-07CB-BFDF-281B-E5BD484E7590,142,,2A48325C-9B81-2FB1-AE57-6A180D8758B1,90,Foreign Key,,N,Y,"ft_vendas",N,,,,
"ft_vendas_dm_tempo_fk",9EAB7B6A-7E0C-9F5A-6822-03D2E73F56E5,143,,2A48325C-9B81-2FB1-AE57-6A180D8758B1,90,Foreign Key,,N,Y,"ft_vendas",N,,,,
